Schlüssel-Profilmap,Profilnummer,Buchungskreis,Sparte,Profilname,Profiltyp,ProfilID (SBP),SBPNomenklatur,ProfilID (SBP) Map SigLinDe,SBPNomenklaturMapSigLinDE,Stand
,1000000000,,Strom,H0 Haushaltskunden Niedersachsen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000001,,Strom,G0 Gewerbe allgemein Niedersachsen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000002,,Strom,G1 Gewerbe werktags 8-18 Niedersachsen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000003,,Strom,G2 Gewerbe mit Verbrauch Abend Niedersachsen,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000004,,Strom,G3 Gewerbe durchlaufend Niedersachsen,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000005,,Strom,G4 Laden/Friseur Niedersachsen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000006,,Strom,G5 Bäckerei mit Backstube Niedersachsen,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000007,,Strom,G6 Wochenendbetrieb Niedersachsen,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000008,,Strom,L0 Landwirtschaftsbetriebe Niedersachsen,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000000010,,Strom,L2 Übrige Landwirtschaftsbetriebe Niedersachsen,Übrige Landwirtschaftsbetriebe ,L2,L2,L2,L2,2019-04-13 00:00:00
,1000000011,,Strom,H0 Haushaltskunden Sachsen-Anhalt,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000012,,Strom,G0 Gewerbe allgemein Sachsen-Anhalt,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000013,,Strom,G1 Gewerbe werktags 8-18 Sachsen-Anhalt,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000014,,Strom,G2 Gewerbe mit Verbrauch Abend Sachsen-Anhalt,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000015,,Strom,G3 Gewerbe durchlaufend Sachsen-Anhalt,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000016,,Strom,G4 Laden/Friseur Sachsen-Anhalt,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000017,,Strom,G5 Bäckerei mit Backstube Sachsen-Anhalt,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000018,,Strom,G6 Wochenendbetrieb Sachsen-Anhalt,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000019,,Strom,L0 Landwirtschaftsbetriebe Sachsen-Anhalt,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000000022,,Strom,H0 Haushaltskunden Sachsen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000023,,Strom,G0 Gewerbe allgemein Sachsen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000024,,Strom,G1 Gewerbe werktags 8-18 Sachsen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000027,,Strom,G4 Laden/Friseur Sachsen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000033,,Strom,H0 Haushaltskunden Mecklenburg-Vorpommern,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000034,,Strom,G0 Gewerbe allgemein Mecklenburg-Vorpommern,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000035,,Strom,G1 Gewerbe werktags 8-18 Mecklenburg-Vorpommern,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000044,,Strom,H0 Haushaltskunden Brandenburg,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000045,,Strom,G0 Gewerbe allgemein Brandenburg,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000046,,Strom,G1 Gewerbe werktags 8-18 Brandenburg,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000047,,Strom,G2 Gewerbe mit Verbrauch Abend Brandenburg,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000048,,Strom,G3 Gewerbe durchlaufend Brandenburg,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000049,,Strom,G4 Laden/Friseur Brandenburg,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000050,,Strom,G5 Bäckerei mit Backstube Brandenburg,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000051,,Strom,G6 Wochenendbetrieb Brandenburg,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000052,,Strom,L0 Landwirtschaftsbetriebe Brandenburg,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000000055,,Strom,H0 Haushaltskunden Berlin,Haushalt,H21,H21,H21,H21,2019-04-13 00:00:00
,1000000061,,Strom,G5 Bäckerei mit Backstube Berlin,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000066,,Strom,H0 Haushaltskunden Thüringen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000067,,Strom,G0 Gewerbe allgemein Thüringen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000068,,Strom,G1 Gewerbe werktags 8-18 Thüringen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000070,,Strom,G3 Gewerbe durchlaufend Thüringen,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000071,,Strom,G4 Laden/Friseur Thüringen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000073,,Strom,G6 Wochenendbetrieb Thüringen,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000077,,Strom,H0 Haushaltskunden Schleswig-Holstein,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000078,,Strom,G0 Gewerbe allgemein Schleswig-Holstein,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000079,,Strom,G1 Gewerbe werktags 8-18 Schleswig-Holstein,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000080,,Strom,G2 Gewerbe mit Verbrauch Abend Schleswig-Holstein,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000081,,Strom,G3 Gewerbe durchlaufend Schleswig-Holstein,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000082,,Strom,G4 Laden/Friseur Schleswig-Holstein,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000083,,Strom,G5 Bäckerei mit Backstube Schleswig-Holstein,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000084,,Strom,G6 Wochenendbetrieb Schleswig-Holstein,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000085,,Strom,L0 Landwirtschaftsbetriebe Schleswig-Holstein,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000000086,,Strom,L1 Landwirts. mit Milchwirts/Tierzucht Schleswig-H,Milchwirtschaft,L1,L1,L1,L1,2019-04-13 00:00:00
,1000000087,,Strom,L2 Übrige Landwirtschaftsbetriebe Schleswig-Holste,Übrige Landwirtschaftsbetriebe ,L2,L2,L2,L2,2019-04-13 00:00:00
,1000000089,,Strom,G0 Gewerbe allgemein Hamburg,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000090,,Strom,G1 Gewerbe werktags 8-18 Hamburg,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000092,,Strom,G3 Gewerbe durchlaufend Hamburg,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000093,,Strom,G4 Laden/Friseur Hamburg,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000101,,Strom,G1 Gewerbe werktags 8-18 Bremen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000104,,Strom,G4 Laden/Friseur Bremen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000110,,Strom,H0 Haushaltskunden Nordrhein-Westfalen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000111,,Strom,G0 Gewerbe allgemein Nordrhein-Westfalen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000112,,Strom,G1 Gewerbe werktags 8-18 Nordrhein-Westfalen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000113,,Strom,G2 Gewerbe mit Verbrauch Abend Nordrhein-Westfalen,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000114,,Strom,G3 Gewerbe durchlaufend Nordrhein-Westfalen,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000115,,Strom,G4 Laden/Friseur Nordrhein-Westfalen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000116,,Strom,G5 Bäckerei mit Backstube Nordrhein-Westfalen,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000118,,Strom,L0 Landwirtschaftsbetriebe Nordrhein-Westfalen,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000000121,,Strom,H0 Haushaltskunden Hessen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000122,,Strom,G0 Gewerbe allgemein Hessen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000124,,Strom,G2 Gewerbe mit Verbrauch Abend Hessen,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000125,,Strom,G3 Gewerbe durchlaufend Hessen,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000126,,Strom,G4 Laden/Friseur Hessen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000131,,Strom,L2 Übrige Landwirtschaftsbetriebe Hessen,Übrige Landwirtschaftsbetriebe ,L2,L2,L2,L2,2019-04-13 00:00:00
,1000000132,,Strom,H0 Haushaltskunden Rheinland-Pfalz,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000133,,Strom,G0 Gewerbe allgemein Rheinland-Pfalz,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000134,,Strom,G1 Gewerbe werktags 8-18 Rheinland-Pfalz,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000137,,Strom,G4 Laden/Friseur Rheinland-Pfalz,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000144,,Strom,G0 Gewerbe allgemein Saarland,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000145,,Strom,G1 Gewerbe werktags 8-18 Saarland,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000148,,Strom,G4 Laden/Friseur Saarland,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000154,,Strom,H0 Haushaltskunden Baden-Württemberg,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000155,,Strom,G0 Gewerbe allgemein Baden-Württemberg,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000156,,Strom,G1 Gewerbe werktags 8-18 Baden-Württemberg,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000157,,Strom,G2 Gewerbe mit Verbrauch Abend Baden-Württemberg,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000158,,Strom,G3 Gewerbe durchlaufend Baden-Württemberg,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000159,,Strom,G4 Laden/Friseur Baden-Württemberg,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000165,,Strom,H0 Haushaltskunden Bayern,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000166,,Strom,G0 Gewerbe allgemein Bayern,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000167,,Strom,G1 Gewerbe werktags 8-18 Bayern,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000168,,Strom,G2 Gewerbe mit Verbrauch Abend Bayern,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000169,,Strom,G3 Gewerbe durchlaufend Bayern,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000170,,Strom,G4 Laden/Friseur Bayern,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000171,,Strom,G5 Bäckerei mit Backstube Bayern,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000172,,Strom,G6 Wochenendbetrieb Bayern,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000173,,Strom,L0 Landwirtschaftsbetriebe Bayern,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000001000,,Strom,H0 Haushaltskunden Niedersachsen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001001,,Strom,G0 Gewerbe allgemein Niedersachsen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001002,,Strom,G1 Gewerbe werktags 8-18 Niedersachsen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000001004,,Strom,G3 Gewerbe durchlaufend Niedersachsen,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000001005,,Strom,G4 Laden/Friseur Niedersachsen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000001022,,Strom,H0 Haushaltskunden Sachsen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001023,,Strom,G0 Gewerbe allgemein Sachsen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001045,,Strom,G0 Gewerbe allgemein Brandenburg,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001046,,Strom,G1 Gewerbe werktags 8-18 Brandenburg,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000001066,,Strom,H0 Haushaltskunden Thüringen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001067,,Strom,G0 Gewerbe allgemein Thüringen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001069,,Strom,G2 Gewerbe mit Verbrauch Abend Thüringen,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000001070,,Strom,G3 Gewerbe durchlaufend Thüringen,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000001072,,Strom,G5 Bäckerei mit Backstube Thüringen,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000001077,,Strom,H0 Haushaltskunden Schleswig-Holstein,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001088,,Strom,H0 Haushaltskunden Hamburg,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001110,,Strom,H0 Haushaltskunden Nordrhein-Westfalen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001111,,Strom,G0 Gewerbe allgemein Nordrhein-Westfalen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001112,,Strom,G1 Gewerbe werktags 8-18 Nordrhein-Westfalen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000001118,,Strom,L0 Landwirtschaftsbetriebe Nordrhein-Westfalen,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000001119,,Strom,L1 Landwirts. mit Milchwirts/Tierzucht Nordrhein-W,Milchwirtschaft,L1,L1,L1,L1,2019-04-13 00:00:00
,1000001121,,Strom,H0 Haushaltskunden Hessen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001122,,Strom,G0 Gewerbe allgemein Hessen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001123,,Strom,G1 Gewerbe werktags 8-18 Hessen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000001124,,Strom,G2 Gewerbe mit Verbrauch Abend Hessen,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000001125,,Strom,G3 Gewerbe durchlaufend Hessen,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000001126,,Strom,G4 Laden/Friseur Hessen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000001127,,Strom,G5 Bäckerei mit Backstube Hessen,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000001128,,Strom,G6 Wochenendbetrieb Hessen,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000001129,,Strom,L0 Landwirtschaftsbetriebe Hessen,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000001133,,Strom,G0 Gewerbe allgemein Rheinland-Pfalz,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001134,,Strom,G1 Gewerbe werktags 8-18 Rheinland-Pfalz,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000001137,,Strom,G4 Laden/Friseur Rheinland-Pfalz,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000001154,,Strom,H0 Haushaltskunden Baden-Württemberg,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001155,,Strom,G0 Gewerbe allgemein Baden-Württemberg,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001156,,Strom,G1 Gewerbe werktags 8-18 Baden-Württemberg,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000001165,,Strom,H0 Haushaltskunden Bayern,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000001166,,Strom,G0 Gewerbe allgemein Bayern,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000001167,,Strom,G1 Gewerbe werktags 8-18 Bayern,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000001168,,Strom,G2 Gewerbe mit Verbrauch Abend Bayern,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000001169,,Strom,G3 Gewerbe durchlaufend Bayern,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000001170,,Strom,G4 Laden/Friseur Bayern,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000001172,,Strom,G6 Wochenendbetrieb Bayern,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000001173,,Strom,L0 Landwirtschaftsbetriebe Bayern,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1100000000,,Strom,SLP für Straßenbeleuchtung EAV (Hilfsprofil 210000,Straßenbeleuchtung,SB0,SB0,SB0,SB0,2019-04-13 00:00:00
,1100000001,,Strom,SEP,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100000002,,Strom,SLP 7460 1000 H21 Haushalt BB,Haushalt,H21,H21,H21,H21,2019-04-13 00:00:00
,1100000003,,Strom,SLP 7460 1000 G21 Gewerbe BB,Gewerbe,G21,G21,G21,G21,2019-04-13 00:00:00
,1100000004,,Strom,SLP 7460 1000 L21 Landwirtschaft BB,Landwirtschaft,L21,L21,L21,L21,2019-04-13 00:00:00
,1100000005,,Strom,SLP 7460 1000 B21 Bandprofil BB,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100000007,,Strom,SLP 7460 1000 E21  Einspeiseprofil BB,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100000082,,Strom,SLP 7460 80 GB Gewerbe Berlin dyn,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100000083,,Strom,SLP 7460 80 HB Haushalt Berlin dyn,Haushalt,H21,H21,H21,H21,2019-04-13 00:00:00
,1100000118,,Strom,SLP 7460 1065 G11 Gewerbe MV,Gewerbe,G21,G21,G21,G21,2019-04-13 00:00:00
,1100000126,,Strom,SLP 7450 - SVN9000526 - LS0 - Straßenbeleuchtung,Straßenbeleuchtung,LS0,LS0,LS0,LS0,2019-04-13 00:00:00
,1100000127,,Strom,SLP 7450 - SVN9000526 - BT - Bandprofil Telekom,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100000128,,Strom,SEP 7450 - SVN9000526 - EPV - Photovoltaik Einspei,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100000132,,Strom,SLP 7450 - SVN9000526 - E01 EEG-Band - Wasserkraft,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100000138,,Strom,SLP 7450 - SVN9000526 - E07 Einspeise - KWK,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100000139,,Strom,SLP 7450 - SVN9000526 - E08 Sonstige Einspeisung,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100000175,,Strom,SLP 7460 7078 EVVelten G11 Gewerbe BB,Gewerbe,G21,G21,G21,G21,2019-04-13 00:00:00
,1100000177,,Strom,SLP 7460 772 SW Ludwigsfelde GWL,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100000224,,Strom,SLP 7460 259 VEDHamburg_HG0,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100000225,,Strom,SLP 7460 259 VEDHamburg_HH0,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100000323,,Strom,SLP 7420  BT  Bandprofil,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100001362,,Strom,OG1 von VNB SVN0000888 an LIEF SLF9000502,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100001621,,Strom,SB0 von VNB SVN9000504 an LIEF SLF0003044,Straßenbeleuchtung,SB0,SB0,SB0,SB0,2019-04-13 00:00:00
,1100001622,,Strom,H21 von VNB SVN9000510 an LIEF SLF0003044,Haushalt,H21,H21,H21,H21,2019-04-13 00:00:00
,1100001623,,Strom,G21 von VNB SVN9000510 an LIEF SLF0003044,Gewerbe,G21,G21,G21,G21,2019-04-13 00:00:00
,1100001624,,Strom,L21 von VNB SVN9000510 an LIEF SLF0003044,Landwirtschaft,L21,L21,L21,L21,2019-04-13 00:00:00
,1100001625,,Strom,B21 von VNB SVN9000510 an LIEF SLF0003044,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100001626,,Strom,D21 von VNB SVN9000510 an LIEF SLF0003044,"Dämmerungsgeführte Anlagen, Straßenbeleuchtung",D21,D21,D21,D21,2019-04-13 00:00:00
,1100001634,,Strom,H11 von VNB SVN0001752 an LIEF SLF0003044,Haushalt,H21,H21,H21,H21,2019-04-13 00:00:00
,1100001638,,Strom,SB von VNB SVN9000510 an LIEF SLF0003044,"Dämmerungsgeführte Anlagen, Straßenbeleuchtung",D21,D21,D21,D21,2019-04-13 00:00:00
,1100001656,,Strom,G11 von VNB SVN0000196 an LIEF SLF0003044,Gewerbe,G21,G21,G21,G21,2019-04-13 00:00:00
,1100001658,,Strom,GWL von VNB SVN0001396 an LIEF SLF0003044,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100002605,,Strom,G4 von VNB SVN0001826 an LIEF SLF0003044,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100002610,,Strom,G0 von VNB SVN0001826 an LIEF SLF9000525,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100002624,,Strom,H0N von VNB SVN9000526 an LIEF SLF9000502,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100002625,,Strom,G0N von VNB SVN9000526 an LIEF SLF9000502,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100002626,,Strom,G1N von VNB SVN9000526 an LIEF SLF9000502,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100002627,,Strom,G2N von VNB SVN9000526 an LIEF SLF9000502,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1100002629,,Strom,G4N von VNB SVN9000526 an LIEF SLF9000502,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100002635,,Strom,H0W von VNB SVN9000526 an LIEF SLF9000502,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100002636,,Strom,G0W von VNB SVN9000526 an LIEF SLF9000502,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100002637,,Strom,G1W von VNB SVN9000526 an LIEF SLF9000502,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100002638,,Strom,G2W von VNB SVN9000526 an LIEF SLF9000502,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1100002639,,Strom,G3W von VNB SVN9000526 an LIEF SLF9000502,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100002640,,Strom,G4W von VNB SVN9000526 an LIEF SLF9000502,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100002643,,Strom,L0W von VNB SVN9000526 an LIEF SLF9000502,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1100002683,,Strom,B0 von VNB SVN0000018 an LIEF SLF9000502,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100002689,,Strom,H0S von VNB SVN9000504 an LIEF SLF9000502,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100002690,,Strom,G0S von VNB SVN9000504 an LIEF SLF9000502,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100002691,,Strom,G1S von VNB SVN9000504 an LIEF SLF9000502,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100002692,,Strom,G2S von VNB SVN9000504 an LIEF SLF9000502,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1100002693,,Strom,G3S von VNB SVN9000504 an LIEF SLF9000502,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100002694,,Strom,G4S von VNB SVN9000504 an LIEF SLF9000502,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100002695,,Strom,G5S von VNB SVN9000504 an LIEF SLF9000502,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1100002696,,Strom,G6S von VNB SVN9000504 an LIEF SLF9000502,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1100002697,,Strom,L0S von VNB SVN9000504 an LIEF SLF9000502,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1100002698,,Strom,L1S von VNB SVN9000504 an LIEF SLF9000502,Milchwirtschaft,L1,L1,L1,L1,2019-04-13 00:00:00
,1100002699,,Strom,L2S von VNB SVN9000504 an LIEF SLF9000502,Übrige Landwirtschaftsbetriebe ,L2,L2,L2,L2,2019-04-13 00:00:00
