holidaycalendar,holiday,description,creationname,creationdate,revisionname,revisiondate
Argus Europe,2008-12-26 00:00:00,NG:No reports or data,Hilario Garcia,2008-10-23 13:38:31,Hilario Garcia,2008-10-23 13:46:29
Argus Europe,2008-12-31 00:00:00,NG:No German sparkspread,Hilario Garcia,2008-10-23 13:38:31,,
Argus Europe,2009-01-01 00:00:00,No reports or data,Hilario Garcia,2008-10-23 13:38:31,Hilario Garcia,2008-10-23 13:46:29
Argus Europe,2010-01-01 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-01-06 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-03-15 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-04-02 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-04-05 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-04-30 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-05-03 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-05-05 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-05-13 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-05-17 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-05-23 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-05-24 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-05-31 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-06-02 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-06-03 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-07-05 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-07-06 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-07-14 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-08-20 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-08-30 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-09-28 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-10-12 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-10-26 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-10-28 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-11-01 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-11-11 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-11-17 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-12-01 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-12-06 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-12-08 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-12-24 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-12-27 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-12-28 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe,2010-12-31 00:00:00,,Hilario Garcia,2010-08-23 15:50:32,,
Argus Europe WKD,2002-01-01 00:00:00,New Year's Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2002-03-29 00:00:00,Good Friday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2002-04-01 00:00:00,Easter Monday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2002-05-06 00:00:00,May Day Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2002-06-03 00:00:00,Golden Jubilee,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2002-06-04 00:00:00,Golden Jubilee,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2002-08-26 00:00:00,Bank Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2002-12-25 00:00:00,Christmas,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2002-12-26 00:00:00,Boxing Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
